Abbr,Canton,Capital,Population,Area,Density,Municipalities,Official languages,CantonNumber
ZH,Zürich,Zürich,1421895,1729,701,171,German,1
BE,Bern,Bern,1001281,5959,158,383,"German, French",2
LU,Luzern,Luzern,390349,1493,233,87,German,3
UR,Uri,Altdorf,35865,1077,33,20,German,4
SZ,Schwyz,Schwyz,151396,908,143,30,German,5
OW,Obwalden,Sarnen,36507,491,66,7,German,6
NW,Nidwalden,Stans,41888,276,138,11,German,7
GL,Glarus,Glarus,39593,685,51,3,German,8
ZG,Zug,Zug,118118,239,416,11,German,9
FR,Fribourg,Fribourg,297622,1671,141,167,"French, German",10
SO,Solothurn,Solothurn,261437,790,308,122,German,11
BS,Basel-Stadt,Basel,195962,37,5072,3,German,12
BL,Basel-Landschaft,Liestal,281112,518,502,86,German,13
SH,Schaffhausen,Schaffhausen,78783,298,246,27,German,14
AR,Appenzell Ausserrhoden,Herisau,53691,243,220,20,German,15
AI,Appenzell Innerrhoden,Appenzell,15778,173,87,6,German,16
SG,St. Gallen,St. Gallen,491699,2026,222,85,German,17
GR,Graubünden,Chur,194959,7105,26,180,"German, Romansh, Italian",18
AG,Aargau,Aarau,636362,1404,388,220,German,19
TG,Thurgau,Frauenfeld,260278,991,229,80,German,20
TI,Ticino,Bellinzona,346539,2812,110,157,Italian,21
VD,Vaud,Lausanne,749373,3212,188,339,French,22
VS,Valais,Sion,327011,5224,53,143,"French, German",23
NE,Neuchâtel,Neuchâtel,176402,803,206,53,French,24
GE,Geneva,Geneva,479158,282,1442,45,French,25
JU,Jura,Delémont,71738,839,82,64,French,26
